stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
110018,110018,REDAN RD @ BENTLEY WOODS TRL,0 REDAN & BENTLEY WOODS,33.75161,-84.154608,0,,,,,0
110020,110020,REDAN RD @ BENTLEY WOODS LANE,0 REDAN & BENTLEY WOODS,33.750773,-84.152907,0,,,,,0
110022,110022,REDAN RD @ YOUNG RD,0 REDAN & YOUNG,33.74862,-84.14877,,,,,,1
110024,110024,REDAN RD @ DURAN FARMS DR,5107 REDAN RD & DUREN FARMS DR,33.747461,-84.146307,0,,,,,0
110026,110026,S STONE MOUNTAIN LITHONIA RD @ WELLBORN RD,0 STONE MOUNTAIN LITHO & WELLBORN,33.746575,-84.14089,0,,,,,1
110028,110028,S STONE MOUNTAIN LITHONIA RD @ SHADOW ROC,0 STONE MOUNTAIN LITHO & SHADOW ROCK,33.746078,-84.138988,0,,,,,1
110030,110030,REDAN RD @ PANOLA RD,0 REDAN RD & PANOLA RD,33.755952,-84.165728,0,,,,,1
110032,110032,REDAN RD @ PANOLA RD,0 REDAN RD & PANOLA RD,33.755779,-84.164639,0,,,,,1
110034,110034,REDAN RD @ REDAN CIR,0 REDAN & REDAN,33.75214,-84.155817,0,,,,,0
110036,110036,REDAN RD @ REDAN CIR,0 REDAN & REDAN,33.752553,-84.156464,0,,,,,0
111002,111002,S STONE MOUNTAIN LITHONIA RD @ LITHONIA INDUSTRIAL BLVD,0 STONE MOUNTAIN LITHO & LITHONIA INDUSTRIAL,33.735554,-84.115818,0,,,,,0
111004,111004,S STONE MOUNTAIN LITHONIA RD @ 2222,,33.742556,-84.124851,,,,,,0
111008,111008,S STONE MOUNTAIN LITHONIA RD @ S DESHON RD,0 STONE MOUNTAIN LITHOTHIA RD & S DESHON RD,33.744976,-84.133391,0,,,,,1
111010,111010,S STONE MOUNTAIN LITHONIA RD @ RICE RD,0 S STONE MOUNTAIN LITHONIA RD & RICE RD,33.745082,-84.136745,0,,,,,0
111012,111012,S STONE MOUNTAIN LITHONIA RD @ RICE RD,0 STONE MOUNTAIN LITHO & RICE,33.744992,-84.137084,0,,,,,0
111015,111015,S STONE MOUNTAIN LITHONIA RD @ 2222,,33.742444,-84.124922,0,,,,,0
111017,111017,S STONE MOUNTAIN LITHONIA RD @ 2277,,33.74107,-84.12258,,,,,,1
111020,111020,S STONE MOUNTAIN LITHONIA RD @ 2399,,33.738955,-84.119784,0,,,,,0
111022,111022,S STONE MOUNTAIN LITHONIA RD @ 2399,,33.739175,-84.119835,0,,,,,0
111030,111030,S STONE MOUNTAIN LITHONIA RD @ LITHONIA INDUSTRIAL BLVD,0 STONE MOUNTAIN LITHO & LITHONIA INDUSTRIAL,33.73431,-84.114913,0,,,,,0
111032,111032,S STONE MOUNTAIN LITHONIA RD @ S DESHON RD,0 STONE MOUNTAIN LITHO & DESHON,33.744817,-84.132152,0,,,,,0
111034,111034,S STONE MOUNTAIN LITHONIA RD @ REDAN EAST,0 STONE MOUNTAIN LITHO & REDAN EAST,33.743443,-84.127418,0,,,,,0
